,SUBJECT,SNR,CHOICE,TALKER,RESULT
881,8,0,audio-only,0,1
882,8,0,audio-only,0,1
883,8,0,audio-only,0,1
884,8,0,audio-only,0,1
885,8,-9,audio-only,2,0
886,8,-9,audio-only,2,0
887,8,-9,audio-only,2,0
888,8,-3,natural,3,0
889,8,-3,natural,3,0
890,8,-3,natural,3,1
891,8,-3,natural,3,1
892,8,0,natural,2,1
893,8,0,natural,2,1
894,8,0,natural,2,1
895,8,0,natural,2,1
896,8,-3,synthesized,0,1
897,8,-3,synthesized,0,1
898,8,-3,synthesized,0,0
899,8,-3,synthesized,0,0
900,8,-9,natural,1,0
901,8,-9,natural,1,1
902,8,-9,natural,1,1
903,8,-9,natural,1,1
904,8,-6,natural,3,0
905,8,-6,natural,3,0
906,8,-6,natural,3,1
907,8,-6,natural,3,1
908,8,-3,audio-only,2,1
909,8,-3,audio-only,2,1
910,8,-3,audio-only,2,1
911,8,-3,audio-only,2,1
912,8,-3,audio-only,2,1
913,8,-9,synthesized,2,0
914,8,-9,synthesized,2,0
915,8,-9,synthesized,2,0
916,8,-9,synthesized,2,0
